feature,Transmission_Centrality,Clonal_Expansion,Persistence,Spatial_Dissemination,mean_importance,type
SVD_59,0.0054604756663215,0.00408183722753,0.021554072215559,0.0005341136418091,0.0079076246878049,SVD_Latent
SVD_64,0.0035438326777431,0.0032025755571974,0.0229560745762097,0.0013782554534434,0.0077701845661484,SVD_Latent
SVD_62,0.009853273385162,0.0031416869898747,0.0165257240273199,0.0013053544705039,0.0077065097182151,SVD_Latent
SVD_34,0.0045904158933801,0.019747673045808,0.0029272287139188,0.0012235740392506,0.0071222229230894,SVD_Latent
SVD_69,0.0063666776444159,0.0039090120123432,0.0162157363978593,0.0006251875729665,0.0067791534068962,SVD_Latent
SVD_67,0.0026823145675346,0.0039335411209082,0.0175388688612805,0.0006916800813643,0.0062116011577719,SVD_Latent
SVD_15,0.012987222945897,0.0086794282416585,0.0016131990888879,0.0009174600892523,0.006049327591424,SVD_Latent
SVD_13,0.0105388186585067,0.008991511534701,0.0015699635520888,0.0028875516807073,0.005996961356501,SVD_Latent
SVD_60,0.003542675395886,0.0031482481994446,0.0159493274202485,0.0011570239635803,0.0059493187447898,SVD_Latent
SVD_66,0.0043009392533753,0.0028974334412373,0.0157770274081464,0.000459312170448,0.0058586780683017,SVD_Latent
SVD_71,0.0119092795377409,0.0044329492760511,0.0038642516677994,0.0031085580848015,0.0058287596415982,SVD_Latent
SVD_74,0.0102144518315402,0.0075986757841329,0.004313194140569,0.0009188605544144,0.0057612955776641,SVD_Latent
SVD_80,0.0084261963876043,0.0029230341064113,0.0091995135556562,0.002321131012774,0.0057174687656115,SVD_Latent
SVD_119,0.0027087084999092,0.002402966862037,0.0159535154190346,0.0012435270328893,0.0055771794534675,SVD_Latent
SVD_78,0.005216260550902,0.0060649798193477,0.006774426994675,0.0037355956938828,0.0054478157647019,SVD_Latent
SVD_20,0.0107243516211042,0.004682436078267,0.0042669106540414,0.0017303493522398,0.0053510119264131,SVD_Latent
SVD_38,0.0050280756067824,0.0126952262252093,0.0023978426388641,0.001229867046245,0.0053377528792752,SVD_Latent
SVD_54,0.0079317962633606,0.0044895340626901,0.0069273365431482,0.0015102634767974,0.0052147325864991,SVD_Latent
SVD_91,0.008569090347015,0.0029738744556473,0.0075679693485143,0.0014528259517234,0.005140940025725,SVD_Latent
SVD_86,0.0075389554327621,0.0023717264985336,0.0048567285701807,0.0054044177976791,0.0050429570747889,SVD_Latent
SVD_5,0.0042869646486346,0.007871903161285,0.0058264866487968,0.0015721175664845,0.0048893680063003,SVD_Latent
SVD_29,0.0057683381352056,0.0108356273512598,0.0020486650165954,0.0008530419319386,0.0048764181087499,SVD_Latent
SVD_27,0.0046129416086584,0.0091463999845303,0.0038515869382026,0.001884805186038,0.0048739334293573,SVD_Latent
SVD_33,0.0091494081585384,0.0061862685100645,0.0028439549438785,0.0011695398348959,0.0048372928618443,SVD_Latent
SVD_11,0.0099684552649638,0.0058543476864956,0.0020654404234778,0.0009171513208461,0.0047013486739458,SVD_Latent
SVD_50,0.0072486830104503,0.0071688821427183,0.0027535930563827,0.0013794180746194,0.0046376440710427,SVD_Latent
SVD_94,0.0042196377321769,0.0069092479439141,0.00582130042961,0.0010204272139045,0.0044926533299014,SVD_Latent
SVD_16,0.0071625932564346,0.0060222721886537,0.003113008096563,0.0014907347301492,0.0044471520679501,SVD_Latent
SVD_24,0.0041648648385938,0.008417693840729,0.0016124926019437,0.0035915128624818,0.0044466410359371,SVD_Latent
SVD_28,0.0042657233479281,0.0094773155502385,0.0027396100131032,0.0012914977346989,0.0044435366614922,SVD_Latent
SVD_77,0.0075714839583871,0.0035020470136328,0.0054134368109898,0.0012706957396556,0.0044394158806663,SVD_Latent
SVD_76,0.0029804950220732,0.0042068609765922,0.0094006810530047,0.0011578525549556,0.0044364724016564,SVD_Latent
SVD_75,0.005230354476838,0.0070137195241235,0.0035473448464783,0.0013668176908305,0.0042895591345676,SVD_Latent
SVD_44,0.011674552188475,0.0023005794148786,0.0020630543110094,0.000678965746056,0.0041792879151047,SVD_Latent
SVD_61,0.0037308876546394,0.002324614266003,0.0088207895604461,0.0014557611206002,0.0040830131504222,SVD_Latent
SVD_70,0.0058401917739281,0.0058574284732897,0.0040938142155729,0.0004812973095214,0.004068182943078,SVD_Latent
SVD_63,0.0024497332991458,0.0044117806968515,0.0083302168123737,0.0007521092489385,0.0039859600143274,SVD_Latent
